id,noc,medal
605,GBR,Bronze
606,USA,Gold
607,AUS,Bronze
608,USA,Silver
609,AUS,Gold
610,USA,Silver
611,USA,Silver
612,GBR,Silver
613,GBR,Bronze
614,SWE,Bronze
615,SWE,Silver
616,SWE,Bronze
617,SWE,Gold
618,SWE,Silver
619,SWE,Silver
620,SWE,Bronze
621,SWE,Bronze
622,SWE,Silver
623,SWE,Silver
624,SWE,Silver
625,SWE,Bronze
626,SWE,Gold
627,SWE,Silver
628,SWE,Silver
629,SWE,Silver
630,SWE,Silver
631,SWE,Bronze
632,SWE,Bronze
633,SWE,Bronze
634,SWE,Silver
635,SWE,Bronze
636,SWE,Silver
637,SWE,Silver
638,SWE,Bronze
639,SWE,Bronze
640,SWE,Gold
641,SWE,Bronze
642,SWE,Silver
643,SWE,Bronze
644,SWE,Bronze
645,SWE,Bronze
646,GDR,Gold
647,JPN,Bronze
648,JPN,Silver
649,JPN,Silver
650,JPN,Bronze
651,ARG,Gold
652,BRA,Silver
653,URU,Gold
654,URU,Gold
655,BRA,Bronze
656,USA,Silver
657,FRA,Silver
658,FRA,Bronze
659,FRA,Bronze
660,BRA,Silver
661,USA,Bronze
662,NOR,Bronze
663,NOR,Silver
664,NOR,Silver
665,ITA,Gold
666,BRA,Silver
667,BRA,Silver
668,ITA,Gold
669,ITA,Silver
670,SUI,Bronze
671,SUI,Bronze
672,SUI,Gold
673,DEN,Silver
674,NOR,Silver
675,NOR,Gold
676,NOR,Bronze
677,AUS,Bronze
678,AUS,Silver
679,USA,Bronze
680,USA,Silver
681,GBR,Silver
682,AUS,Gold
683,USA,Gold
684,USA,Gold
685,URS,Bronze
686,URS,Bronze
687,RUS,Bronze
688,URS,Gold
689,GRE,Gold
690,URS,Silver
691,URS,Gold
692,URS,Bronze
693,URS,Gold
694,URS,Silver
695,URS,Gold
696,URS,Gold
697,URS,Silver
698,URS,Gold
699,URS,Bronze
700,URS,Silver
701,URS,Gold
702,URS,Silver
703,URS,Gold
704,URS,Bronze
705,URS,Bronze
706,YUG,Gold
707,YUG,Gold
708,FRA,Bronze
709,FRA,Gold
710,TCH,Bronze
711,AUT,Gold
712,RUS,Silver
713,ITA,Gold
714,ITA,Bronze
715,BUL,Silver
716,BUL,Silver
717,GER,Bronze
718,FRG,Bronze
719,FRG,Silver
720,FRG,Gold
721,FRG,Bronze
722,FRG,Silver
723,GER,Bronze
724,GER,Bronze
725,GER,Silver
726,GER,Silver
727,SUI,Gold
728,SUI,Bronze
729,ESP,Silver
730,HUN,Bronze
731,NGR,Silver
732,RUS,Bronze
733,URS,Gold
734,URS,Bronze
735,URS,Bronze
736,URS,Bronze
737,EUN,Bronze
738,URS,Silver
739,URS,Bronze
740,URS,Silver
741,FRA,Bronze
742,FRA,Gold
743,ROU,Bronze
744,ROU,Silver
745,GDR,Gold
746,GDR,Gold
747,NOR,Gold
748,NOR,Gold
749,NOR,Gold
750,NED,Silver
751,YUG,Gold
752,AUS,Gold
753,AUS,Gold
754,SUI,Bronze
755,SUI,Bronze
756,SUI,Bronze
757,GBR,Bronze
758,JPN,Gold
759,ITA,Silver
760,IRI,Silver
761,URS,Gold
